time,datetime,PS,QV10M,T10M,U50M,V50M
982652400000,2001-02-20 07:00:00,99953.4140625,0.0033375381026417017,272.3633728027344,1.5607762336730957,-7.190288066864014
982656000000,2001-02-20 08:00:00,99947.2265625,0.003399388864636421,273.72503662109375,0.38308656215667725,-7.616791248321533
982659600000,2001-02-20 09:00:00,99907.78125,0.003546410473063588,275.6869201660156,0.02918100357055664,-7.356438636779785
982663200000,2001-02-20 10:00:00,99860.34375,0.003787014866247773,277.3924255371094,-0.007441282272338867,-7.5336833000183105
982666800000,2001-02-20 11:00:00,99812.7890625,0.003990582190454006,278.4926452636719,0.09216010570526123,-8.25381851196289
982670400000,2001-02-20 12:00:00,99795.40625,0.0040647173300385475,279.0345153808594,-0.02161252498626709,-8.987887382507324
982674000000,2001-02-20 13:00:00,99772.3359375,0.004078220576047897,279.22247314453125,0.05143940448760986,-8.891228675842285
982677600000,2001-02-20 14:00:00,99771.4453125,0.004055058117955923,279.16180419921875,0.1891934871673584,-9.089898109436035
982681200000,2001-02-20 15:00:00,99762.6015625,0.004095162730664015,278.7383728027344,0.6175787448883057,-8.419717788696289
982684800000,2001-02-20 16:00:00,99749.015625,0.004164265468716621,277.6565856933594,1.2355626821517944,-7.938809394836426
982688400000,2001-02-20 17:00:00,99755.1328125,0.004010310862213373,276.464111328125,1.1246860027313232,-8.606528282165527
982692000000,2001-02-20 18:00:00,99752.828125,0.0038819476030766964,275.9106140136719,0.5776740908622742,-8.762906074523926
982695600000,2001-02-20 19:00:00,99764.21875,0.0037494671996682882,275.13909912109375,0.28627628087997437,-8.511632919311523
982699200000,2001-02-20 20:00:00,99793.5234375,0.0036398826632648706,274.2225646972656,0.3097301721572876,-8.270406723022461
982702800000,2001-02-20 21:00:00,99801.8359375,0.0035504631232470274,273.5301818847656,0.29873454570770264,-7.843006134033203
982706400000,2001-02-20 22:00:00,99784.1328125,0.003486862638965249,273.0478515625,0.7591389417648315,-7.38423490524292
982710000000,2001-02-20 23:00:00,99760.1171875,0.0034431188832968473,272.51727294921875,1.2948215007781982,-7.3509111404418945
982713600000,2001-02-21 00:00:00,99749.8671875,0.003404061309993267,272.06231689453125,1.6282501220703125,-7.391666412353516
982717200000,2001-02-21 01:00:00,99739.78125,0.0033546339254826307,271.7261047363281,1.9115700721740723,-6.951691150665283
982720800000,2001-02-21 02:00:00,99710.7734375,0.0033050840720534325,271.486083984375,2.3780007362365723,-6.459697723388672
982724400000,2001-02-21 03:00:00,99693.0625,0.003255172399803996,271.2713623046875,2.7665815353393555,-6.167599201202393
982728000000,2001-02-21 04:00:00,99714.6796875,0.0032186449971050024,271.21710205078125,2.514084815979004,-6.111069679260254
982731600000,2001-02-21 05:00:00,99729.3125,0.0031796919647604227,270.99957275390625,2.4120559692382812,-5.280257225036621
982735200000,2001-02-21 06:00:00,99740.1328125,0.003140232525765896,270.9813537597656,2.435964822769165,-4.751375675201416
982738800000,2001-02-21 07:00:00,99755.8828125,0.0032388721592724323,271.7359619140625,2.293112277984619,-4.50892972946167
982742400000,2001-02-21 08:00:00,99768.8203125,0.0034659183584153652,274.0040283203125,1.5368999242782593,-5.582851409912109
982746000000,2001-02-21 09:00:00,99787.6640625,0.0035651063080877066,276.12432861328125,1.2095423936843872,-6.1061577796936035
982749600000,2001-02-21 10:00:00,99794.28125,0.0035811385605484247,277.69683837890625,1.1653177738189697,-6.1933393478393555
982753200000,2001-02-21 11:00:00,99767.6640625,0.0035460644867271185,278.90692138671875,1.1890442371368408,-6.12223482131958
982756800000,2001-02-21 12:00:00,99703.5078125,0.0034669607412070036,279.8114318847656,1.2471237182617188,-5.953354358673096
982760400000,2001-02-21 13:00:00,99629.4296875,0.003383995732292533,280.40045166015625,1.3969277143478394,-5.84121561050415
982764000000,2001-02-21 14:00:00,99571.578125,0.0033612248953431845,280.5773620605469,1.533083438873291,-5.855462074279785
982767600000,2001-02-21 15:00:00,99523.75,0.0035513548646122217,280.2190856933594,1.7456176280975342,-5.57501745223999
982771200000,2001-02-21 16:00:00,99495.0859375,0.0038179492112249136,278.053466796875,2.5125575065612793,-5.359323978424072
982774800000,2001-02-21 17:00:00,99475.609375,0.003493275260552764,276.32470703125,3.178297758102417,-5.750730037689209
982778400000,2001-02-21 18:00:00,99468.6796875,0.003458660328760743,275.4989013671875,3.4015727043151855,-6.2629289627075195
982782000000,2001-02-21 19:00:00,99480.09375,0.0034585653338581324,274.8829345703125,3.0629591941833496,-6.615560054779053
982785600000,2001-02-21 20:00:00,99499.203125,0.003489354159682989,274.376708984375,2.476677417755127,-6.489025115966797
982789200000,2001-02-21 21:00:00,99492.671875,0.0035629651974886656,273.9507141113281,2.043614387512207,-6.324673652648926
982792800000,2001-02-21 22:00:00,99463.234375,0.0036538599524646997,273.5858154296875,1.8754323720932007,-6.250537395477295
982796400000,2001-02-21 23:00:00,99415.7578125,0.0037563908845186234,273.2549743652344,1.8627194166183472,-6.097627639770508
982800000000,2001-02-22 00:00:00,99369.875,0.003873466746881604,273.06103515625,1.8747851848602295,-5.943886756896973
982803600000,2001-02-22 01:00:00,99316.78125,0.0039858631789684296,273.46575927734375,1.9955016374588013,-5.355854034423828
982807200000,2001-02-22 02:00:00,99244.5234375,0.004098319914191961,274.1840515136719,2.464632034301758,-4.460005760192871
982810800000,2001-02-22 03:00:00,99181.6640625,0.004188127350062132,274.3773498535156,3.0142745971679688,-3.5202417373657227
982814400000,2001-02-22 04:00:00,99119.453125,0.004258825443685055,274.50042724609375,3.1638102531433105,-2.670156717300415
982818000000,2001-02-22 05:00:00,99063.46875,0.004302971996366978,274.5531921386719,3.165168523788452,-2.429328680038452
982821600000,2001-02-22 06:00:00,99025.015625,0.004366359207779169,274.81024169921875,2.9688913822174072,-2.686084508895874
982825200000,2001-02-22 07:00:00,99007.265625,0.0044909087009727955,275.64422607421875,2.5356972217559814,-2.686832904815674
982828800000,2001-02-22 08:00:00,98984.484375,0.004622928332537413,276.33306884765625,2.053612232208252,-2.559000253677368
982832400000,2001-02-22 09:00:00,98958.921875,0.004823295399546623,277.11199951171875,1.824075698852539,-2.590007781982422
982836000000,2001-02-22 10:00:00,98909.2421875,0.005077527370303869,278.131103515625,2.0078213214874268,-2.2871859073638916
982839600000,2001-02-22 11:00:00,98823.8203125,0.005323132500052452,279.1749267578125,2.6716058254241943,-2.1615347862243652
982843200000,2001-02-22 12:00:00,98740.390625,0.005497710779309273,279.9117126464844,3.4363090991973877,-2.5896377563476562
982846800000,2001-02-22 13:00:00,98681.4296875,0.005582898855209351,280.0419006347656,3.8696727752685547,-3.0767199993133545
982850400000,2001-02-22 14:00:00,98637.4453125,0.0056277490220963955,279.87139892578125,3.8181231021881104,-3.329453229904175
982854000000,2001-02-22 15:00:00,98605.5,0.005675623659044504,279.7005615234375,3.3922805786132812,-3.2170419692993164
982857600000,2001-02-22 16:00:00,98570.0390625,0.0055824872106313705,279.04266357421875,3.560457229614258,-3.480477809906006
982861200000,2001-02-22 17:00:00,98536.703125,0.005459617357701063,278.2513122558594,3.7123003005981445,-3.683793783187866
982864800000,2001-02-22 18:00:00,98483.6953125,0.0053946184925735,277.82147216796875,3.8751237392425537,-3.8529865741729736
982868400000,2001-02-22 19:00:00,98432.421875,0.005351268220692873,277.64044189453125,3.984013080596924,-3.7456753253936768
982872000000,2001-02-22 20:00:00,98390.8671875,0.005287925712764263,277.35870361328125,4.273365497589111,-3.293900489807129
982875600000,2001-02-22 21:00:00,98345.6171875,0.005199024453759193,276.9713439941406,4.441080570220947,-2.3372111320495605
982879200000,2001-02-22 22:00:00,98281.515625,0.005112393759191036,276.7008972167969,4.657221794128418,-1.4661076068878174
982882800000,2001-02-22 23:00:00,98203.2109375,0.00505282124504447,276.5698547363281,4.958693504333496,-0.8722726106643677
982886400000,2001-02-23 00:00:00,98130.03125,0.004993536043912172,276.4261779785156,5.4227471351623535,-0.6953525543212891
982890000000,2001-02-23 01:00:00,98041.8203125,0.004919235594570637,276.24853515625,5.572279930114746,-0.5337210297584534
982893600000,2001-02-23 02:00:00,97939.5546875,0.004870040807873011,276.20654296875,5.878530979156494,-1.0293562412261963
982897200000,2001-02-23 03:00:00,97867.5390625,0.004862470552325249,276.3251037597656,5.867815971374512,-1.6372926235198975
982900800000,2001-02-23 04:00:00,97813.046875,0.0049048615619540215,276.6348876953125,5.883374214172363,-2.2479982376098633
982904400000,2001-02-23 05:00:00,97767.0859375,0.00495322048664093,276.7868347167969,5.957723617553711,-2.95259428024292
982908000000,2001-02-23 06:00:00,97746.671875,0.004980391822755337,276.81988525390625,5.749322891235352,-3.0578460693359375
